id      moveType     accountType     name                           state     
------------------------------------------------------------------------------
226     2            1               AC                             1         
97      2            1               ACC. VEHICULAR                 1         
1       2            1               ACCESORIOS PC                  1         
2       2            1               ACEITE CAJA                    1         
3       2            1               ACEITE CORONA                  1         
4       2            1               ACEITE MOTOR                   1         
138     2            1               ALM. AKI                       1         
292     2            1               ALM. TIA                       1         
225     2            1               ALM. TUTTI                     1         
404     2            1               ALTERNADOR Y ARRANQUE          1         
88      2            1               AVI. FERNÁNDEZ                 1         
25      2            1               AVI. VIENESA                   1         
430     2            1               AYUDAS SOLIDARIAS              1         
403     2            1               BANDAS                         1         
187     2            5               BANQUITO # 01 (INTERES)        2         
188     2            4               BANQUITO # 01 (PAGOS)          2         
212     2            5               BANQUITO # 02 (INTERES)        2         
213     2            4               BANQUITO # 02 (PAGOS)          2         
235     2            5               BANQUITO # 03 (INTERES)        2         
236     2            4               BANQUITO # 03 (PAGOS)          2         
266     2            5               BANQUITO # 04 (INTERES)        2         
267     2            4               BANQUITO # 04 (PAGOS)          2         
293     2            5               BANQUITO # 05 (INTERES)        2         
294     2            4               BANQUITO # 05 (PAGOS)          2         
364     2            5               BANQUITO # 06 (INTERES)        2         
365     2            4               BANQUITO # 06 (PAGOS)          2         
391     2            5               BANQUITO # 07 (INTERES)        2         
392     2            4               BANQUITO # 07 (PAGOS)          2         
426     2            5               BANQUITO # 08 (INTERES)        1         
427     2            4               BANQUITO # 08 (PAGOS)          1         
372     2            1               BATERIA                        1         
199     2            5               BEATRIZ (INTERES)              1         
200     2            4               BEATRIZ (PAGOS)                1         
256     2            1               BEBEMUNDO                      2         
402     2            1               BEBIDAS                        1         
352     2            1               BELLEZA Y ESTETICA             1         
276     2            5               BLANQUITA (INTERES)            2         
277     2            4               BLANQUITA (PAGOS)              2         
406     2            1               BOMBA COMBUSTIBLE              1         
9       2            1               CALZADO                        1         
190     2            1               CARNICERÍA CABRERA             1         
60      2            1               CEL. 0979197233                1         
399     2            1               CEL. 0997174485                1         
61      2            1               CEL. 0999420080                1         
10      2            1               CELULARES                      1         
11      2            1               COMBUSTIBLE                    1         
255     2            1               COMI. LAVANDERÍA               1         
33      2            1               COMI. VIVERES                  1         
12      2            1               COMIDAS AFUERA                 1         
176     2            1               COMIDAS CONECEL                1         
