id      moveType     accountType     name                      state     
-------------------------------------------------------------------------
302     1            1               ALQUILER DIMAX            1         
111     1            1               ANTICIPOS SUELDO          1         
157     1            1               APORTES STEVEN            2         
106     1            1               CUADROS RECIBIDOS # 1     2         
140     1            1               CUADROS RECIBIDOS # 2     2         
13      1            1               DECIMO CUARTO             1         
14      1            1               DECIMO TERCER             1         
94      1            1               DEVOLUCIÓN IR 2019        2         
394     1            1               DEVOLUCIÓN IR 2024        2         
15      1            1               EFECTIVO                  1         
20      1            1               FONDOS RESERVA            2         
149     1            1               ING. POR RETIROS          1         
26      1            1               LIQUIDACIÓN RGT           2         
37      1            1               OTROS APORTES             1         
66      1            1               SUELDOS 0000              2         
317     1            1               SUELDOS 2021              2         
316     1            1               SUELDOS 2022              2         
314     1            1               SUELDOS 2023              2         
315     1            1               SUELDOS 2024              2         
380     1            1               SUELDOS 2025              1         
291     1            1               TARJETA TIA               2         
68      1            1               UTILIDAD 0000             2         
308     1            1               UTILIDAD 2021             2         
307     1            1               UTILIDAD 2022             2         
306     1            1               UTILIDAD 2023             2         
319     1            1               UTILIDAD 2024             2         
400     1            1               UTILIDAD 2025             2         
5       1            2               AHORRO CONECEL # 0        1         
6       1            2               AHORRO CONECEL # 1        2         
7       1            2               AHORRO CONECEL # 2        2         
170     1            2               AHORRO CONECEL # 4        2         
425     1            2               AHORRO FLEX # 1           1         
171     1            2               BANQUITO FERTIZA          1         
8       1            2               BCO. PICHINCHA            1         
377     1            2               CERT. APORTA. CONECEL     1         
189     1            3               BANQUITO # 01             2         
214     1            3               BANQUITO # 02             2         
237     1            3               BANQUITO # 03             2         
268     1            3               BANQUITO # 04             2         
295     1            3               BANQUITO # 05             2         
366     1            3               BANQUITO # 06             2         
393     1            3               BANQUITO # 07             2         
428     1            3               BANQUITO # 08             1         
201     1            3               BEATRIZ                   1         
278     1            3               BLANQUITA                 2         
50      1            3               CONECEL # 01              2         
51      1            3               CONECEL # 02              2         
112     1            3               CONECEL # 03              2         
166     1            3               CONECEL # 04              2         
221     1            3               CONECEL # 05              2         
274     1            3               CONECEL # 06              2         
386     1            3               CONECEL # 07              1         
424     1            3               CONECEL # 08              1         
436     1            3               CONECEL # 09              1         
224     1            3               DE PRATI                  2         
160     1            3               DLAYANAC                  2         
298     1            3               DON GUTIÉRREZ             2         
52      1            3               GUAYAQUIL # 01            2         
421     1            3               JORDY                     2         
153     1            3               MADRE                     1         
80      1            3               MASTERCARD                2         
204     1            3               NANDA MITE                2         
335     1            3               NANDA PICHINCHA           2         
344     1            3               NANDA PRODUBANCO          2         
338     1            3               NANDA PYCCA               2         
341     1            3               NANDA RM                  2         
231     1            3               NICOLLE MARTINEZ          2         
195     1            3               PADRE                     2         
234     1            3               PATRICK                   2         
53      1            3               PICHINCHA # 01            2         
247     1            3               PRIMO MANUEL              2         
93      1            3               PYCCA                     2         
54      1            3               QUIRO # 01                2         
55      1            3               QUIRO # 02                2         
56      1            3               QUIRO # 03                2         
57      1            3               QUIRO # 04                2         
126     1            3               QUIRO # 05                2         
146     1            3               QUIRO # 06                2         
175     1            3               QUIRO # 07                2         
179     1            3               QUIRO # 08                2         
184     1            3               QUIRO # 09                2         
207     1            3               QUIRO # 10                2         
217     1            3               QUIRO # 11                2         
241     1            3               QUIRO # 12                2         
251     1            3               QUIRO # 13                2         
264     1            3               QUIRO # 14                2         
271     1            3               QUIRO # 15                2         
281     1            3               QUIRO # 16                2         
284     1            3               QUIRO # 17                2         
290     1            3               QUIRO # 18                1         
301     1            3               QUIRO # 19                1         
360     1            3               QUIRO # 20                1         
369     1            3               QUIRO # 21                2         
383     1            3               QUIRO # 22                2         
418     1            3               QUIRO # 23                2         
156     1            3               STEVEN                    1         
287     1            3               TATIANA                   2         
89      1            3               TÍA LUISA                 2         
122     1            3               VARIOS                    2         
244     1            3               WALTER ESPÍN              2         
